,original,paraphrase,our_paraphrase
91,"Ne le oktobrsko povečanje prometa, ampak tudi obnovljena linija proti Daljnemu vzhodu daje dodatno težo optimizmu.","Optimizmu daje dodatno težo ne le oktobrski porast prometa, temveč tudi prenovljena linija do Daljnega vzhoda.","Ne le oktobrsko povečanje prometa, ampak tudi obnovljena linija proti Daljnemu vzhodu daje dodatno"
92,Kitajski ladjar Cosco je namreč iz Trsta uvedel linijo Trst-Izrael-Indija-Daljni vzhod-Kitajska-Oceanija-ZDA (zahodna obala)-Kanada.,Kitajska ladjarska družba Cosco je predstavila linijo Trst-Izrael-Indija-Daljni vzhod-Kitajska-Oceanija-ZDA (Zahodna obala) -Kanada iz Trsta.,Kitajski ladjar Cosco je iz Trsta uvedel linijo Trst-Izrael-Indi
93,"Ladje na tej progi bodo iz Trsta vozile dvakrat na teden, imajo pa zmogljivost 2200 TEU.",Ladje bodo na tej liniji letele dvakrat tedensko iz Trsta in imajo kapaciteto 2200 TEU.,"Ladje na tej progi bodo iz Trsta vozili dvakrat na teden, imajo pa zmogljivost 2200"
94,Poleg omenjene linije bo ECS (Expresss Container Service) uvedel ladjo iz Trsta za Turčijo (Izmir) in to z zmogljivostjo 500 TEU.,Poleg te linije bo ECS (Expres Container Service) uvedel tudi ladjo iz Trsta v Turčijo (Izmir) z zmogljivostjo 500 TEU.,Poleg omenjene linije bo ECS (Expresss Container Service) uvedel ladjo iz
95,Bolj pomirja valij ali apaurin?,Bolj pomirjujoč Valium ali Apurin?,Bolj pomirja valij ali apaurin?
96,"Novo mesto - Razprava poslanca NSi Andreja Bajuka na začetku sedanje redne seje državnega zbora o izgubah zavoda za zdravstveno zavarovanje, cenah zdravil in dobičkih farmacevtskih tovarn je predsednika uprave in generalnega direktorja novomeške Krke Miloša Kovačiča dohitela na službeni poti v Moskvi.","Novo mesto - Evropski poslanec NSi Andrej Bajuk je na začetku aktualne redne seje državnega zbora na poslovnem potovanju v Moskvo s predsednikom uprave in generalnim direktorjem Krke Milošem Kovačičem o izgubah iz zdravstvenega zavarovanja, cenah zdravil in dobičku farmacevtskih tovarn dohitel predsednika uprave in generalnega direktorja Krke Miloša Kovačiča.",Novo mesto - Razprava poslanca NSi Andreja Bajuka na začetku sedanje redne seje državnega zbora o izgu
97,In ga razjezila.,In ona ga je razjezila.,In ga razjezila.
98,"»Šef opozicijske stranke v parlamentu trosi demagoške in nestrokovne ocene,« meni Kovačič, vladni odgovor pa je po njegovem prepričanju preveč mlačen.","""Vodja opozicijske stranke v parlamentu širi demagoške in nestrokovne ocene,"" pravi Kovačič, odgovor vlade pa je po njegovem mnenju preveč mlačen.","""Šef opozicijske stranke v parlamentu trosi demagoške in nestrokovne ocene"
99,"Če bo uspelo kupiti NKBM, namerava Bank Austria Creditanstalt svojo sedanjo podružnico v Ljubljani vključiti v sedanjo NKBM, je povedal Hampel.","Če bo uspelo kupiti NKBM, namerava Bank Austria Creditanstalt svojo sedanjo ljubljansko podružnico vključiti v sedanjo NKBM, je dejal Hampel.","Če bo uspelo kupiti NKBM, namerava Bank Austria Creditanstalt svojo sedanjo podružni"
100,"»Taka banka bi imela 3,3 milijarde evrov bilančne vsote in bi bila s približno 20-odstotnim tržnim deležem druga največja v državi.","""Takšna banka bi imela bilančno vsoto 3,3 milijarde EUR in bi bila druga največja banka v državi s tržnim deležem okoli 20%.","""Ta banka bi imela 3,3 milijarde evrov bilančne vsote in bi bila s približno 20-odstotnim"
101,"Maribor bi tako lahko postal drugi finančni center Slovenije,« je bil optimističen Hampel.","Maribor bi tako lahko postal drugo finančno središče Slovenije, ""je bil Hampel optimističen.","Maribor bi tako lahko postal drugi finančni center Slovenije,"" je bil optimističen Hampel."
102,"Erich Hampel pa ni mogel komentirati, ali bo pri odločanju o prodaji NKBM za vlado bolj pomembna obljuba o regionalnem centru in ohranitvi pravne samostojnosti in blagovne znamke NKBM ali pa cena, ki jo bo ponudila BACA.","Erich Hampel ni mogel komentirati, ali bi bila obljuba regionalnega centra in ohranitev pravne avtonomije in blagovne znamke NKBM za vlado pomembnejša pri odločanju o prodaji NKBM ali pa bi bila pomembnejša cena, ki bi jo ponudil BACA.","Erich Hampel ni mogel komentirati, ali bo za vlado bolj pomembna obljuba o regionalnem"
103,»Pomembna bo celotna ponudba.,"""Pomembna bo celotna ponudba.","""Pomembna bo celotna ponudba."
104,"Naša dolgoročna zaveza je, da bi v Sloveniji imeli lokalno banko z lokalno blagovno znamko,« je odgovoril Hampel.","Naša dolgoročna zaveza je, da imamo v Sloveniji lokalno banko z lokalno blagovno znamko "", je odgovoril Hampel.","Naša dolgoročna zaveza je, da bi v Sloveniji imeli lokalno banko z lokalno blagovno znamko "", je odgovoril"
105,"Portorož - Se kdo še spominja zgodb o tako imenovanem časovnem zakupu počitnic ( time sharing ), kot oblike turistične ponudbe, ki je pred več kot desetimi leti obljubljala tudi mnogim Slovencem (Jugoslovanom!) rajske počitnice v najlepših svetovnih letoviščih?","Portorož - Ali se še kdo spominja zgodb t. i. ""časovnega dopusta"", kot oblike turistične ponudbe, ki je že pred več kot desetimi leti marsikateremu Slovencu (jugoslovanu) obljubljala rajske počitnice v najlepših svetovnih krajih?",Portorož - Se kdo še spominja zgodb o tako imenovanem časovnem zakupu počitnic ( time sh
106,Mnogi so nasedli in za takšno obliko počitnic tudi vplačali akontacije.,Mnogi so nasedli in plačali akontacije za to vrsto počitnic.,Mnogi so nasedli in za takšno obliko počitnic plačali akontacije.
107,Toda sanje so se kmalu razblinile in mnogi osmoljenci so v naslednjih letih z nekaj truda vendarle prišli do zastavljenega denarja.,"Toda sanje so se kmalu razblinile in v letih, ki so sledila, so mnogi od tistih, ki so zgoreli, dobili nekaj trdega dela.",Toda sanje so se kmalu razblinile in mnogi osmoljenci so v naslednjih letih z nekaj
108,"Največji osmoljenec pa bi upoštevajoč pravnomočno sodbo koprskega sodišča lahko bilo podjetje Hoteli Bernardin, d. d., ki bi moralo zaradi domnevne škode iz tedanjega posla in sodelovanja s tujimi »podjetniki«, odšteti več sto milijonov tolarjev.","Največja pa bi lahko bila, upoštevajoč pravnomočno sodbo koprskega sodišča, družba Hoteli Bernardin, d. d., ki bi morala zaradi domnevne škode iz takratnega poslovanja in sodelovanja s tujimi ""podjetniki"" odšteti več sto milijonov tolarjev.","Največji osmoljenec bi lahko bil Hoteli Bernardin, d. d., ki bi moral"
109,Tak znesek bi temeljito zamajal poslovanje Bernardina.,Takšen znesek bi močno škodil Bernardinovemu poslovanju.,Takšen znesek bi temeljito zamajal poslovanje Bernardina.
110,"Čedomil Vojnič, predsednik uprave, trdi, da Bernardinu te obveznosti ne bo treba plačati, saj je prepričan v ugodno razsodbo vrhovnega sodišča, pri katerem so zahtevali revizijo.","predsednik uprave Čedomil Vojnič trdi, da Bernardinu te obveznosti ne bo treba plačati, saj je prepričan o ugodni sodbi vrhovnega sodišča, za katero je bila predlagana revizija.","Čedomil Vojnič, predsednik uprave, trdi, da Bernardinu te obveznosti ne"
111,Po tem scenariju bi se vojna v južnem Afganistanu nadaljevala.,Po tem scenariju bi se vojna v južnem Afganistanu nadaljevala.,Po tem scenariju bi se vojna v južnem Afganistanu nadaljevala.
112,"To pa je slaba popotnica za pogajanja v Nemčiji, od katerih Severna zveza in najbrž še kdo že vnaprej ne pričakuje kaj prida.","To je slab način za pogajanja v Nemčiji, od katerih Severna unija in verjetno tudi drugi ne pričakujejo ničesar vnaprej.","To je slaba popotnica za pogajanja v Nemčiji, od katerih Severna zveza in verjetno še kdo ne"
113,"Govorjenje, da so ZDA z lahkoto rešile afganistanski problem, je prenagljeno, saj je bilo mogoče vnaprej predvideti, da bo vojaški zlom talibov lažji del ameriške naloge v primerjavi z uničenjem bin Ladna in njegove teroristične mreže.","Prezgodaj je bilo reči, da so ZDA zlahka rešile afganistanski problem, saj je bilo mogoče napovedati, da bo vojaški kolaps talibanov lažji del ameriške naloge, kot je uničenje bin Ladna in njegove teroristične mreže.","Govorjenje, da so Združene države z lahkoto rešile afganistanski problem, je prenag"
114,"Končan ni niti prvi del naloge - če bi vojaške akcije na jugu izvajale samo protitalibske sile, bi se spopadi lahko zavlekli za več let.","Tudi prvega dela misije še ni konec - če bi vojaške akcije na jugu vodile le protitalibijske sile, bi se boji lahko zavlekli še leta.",Končan ni niti prvi del naloge - če bi vojaške akcije na jugu izvajale samo protitali
115,Protiteroristična koalicija na čelu z ZDA se tega zagotovo zaveda.,protiteroristična koalicija pod vodstvom ZDA se tega vsekakor zaveda.,Protiteroristična koalicija na čelu z ZDA se tega zagotovo zaveda.
116,"Tudi Združeni narodi so objavili, da bodo za obnovo Afganistana potrebovali najmanj deset milijard dolarjev.","Združeni narodi so tudi objavili, da bodo za obnovo Afganistana potrebovali vsaj deset milijard dolarjev.","Združeni narodi so objavili, da bodo za obnovo Afganistana potrebovali najmanj deset milijard dolarjev."
117,Pred obnovo v treh desetletjih porušene države vse čaka še veliko dela.,"Veliko je treba še storiti, da bi v treh desetletjih obnovili uničeno državo.",Pred obnovo v treh desetletjih porušene države je še veliko dela.
118,"Tudi Afganistanci se morajo po neskončnih sporih in spopadih odločiti, kakšna naj bi bila prihodnost brez vojn.","Po neskončnih konfliktih in spopadih se morajo tudi Afganistanci odločiti, kakšna bi bila prihodnost brez vojne.","Afganistanci se morajo po neskončnih sporih in spopadih odločiti, kakšna naj bi bila prihodnost"
119,"Naloga je težka tudi zato, ker se v Afganistanu križajo nasprotujoči si interesi regionalnih sil in sosednjih držav, ki so se jim z bombardiranjem pridružile še ZDA.","Naloga je težka tudi zato, ker se v Afganistanu križajo nasprotujoči si interesi regionalnih sil in sosednjih držav, katerim so se z bombardiranjem pridružile tudi Združene države.","Naloga je težka tudi zato, ker se v Afganistanu križajo nasprotujoči interesi regionalnih sil in sosednjih"
120,V drugi polovici tega leta so na gospodarskem in civilnem oddelku ljubljanskega okrožnega sodišča začeli izvajati posebni program posredovanja ali mediacije.,V drugi polovici letošnjega leta je gospodarski in civilni oddelek Okrožnega sodišča v Ljubljani začel izvajati poseben program mediacije.,V drugi polovici tega leta so na gospodarskem in civilnem oddelku ljubljanskega okrožnega sodišča začeli izvajati
121,"Do srede oktobra je šest sodnikov dobilo v mediacijo 155 zadev, od tega je bilo končanih 14, in sicer 6 neuspešno in 8 uspešno, to pomeni, da sta stanki dosegli poravnavo in da je bila tožba umaknjena.","Do sredine oktobra je šest sodnikov prejelo 155 zadev za mediacijo, od katerih je bilo 14 zaključenih, 6 neuspešnih in 8 uspešnih, tj. stranke so dosegle poravnavo in zadeva je bila umaknjena.","Do srede oktobra je šest sodnikov dobilo v mediacijo 155 zadev, od tega je bilo 14 neuspešno"
122,"To sodišče izvaja zdaj tudi razširjeni program mediacije, saj lahko po novem stranke, ki so vpletene v civilne spore in imajo že vložene tožbe, predlagajo, naj se njihov spor zgladi sporazumno.","To sodišče zdaj izvaja tudi razširjen program mediacije, saj lahko stranke, ki so udeležene v civilnih sporih in so že vložile tožbe, zdaj zahtevajo, da se njihov spor reši po mirni poti.","To sodišče izvaja tudi razširjeni program mediacije, saj lahko stranke, ki so vpletene v civilne spore"
123,"Hkrati so začeli izvajati t. i. nevtralno ekspertno oceno, ki pride v poštev le pri avtorskih sporih.","Hkrati so začeli izvajati tako imenovano nevtralno strokovno oceno, ki se uporablja le v sporih o avtorskih pravicah.","Hkrati so začeli izvajati nevtralno ekspertno oceno, ki je v uporabi le pri avtorskih sporih"
124,"Na ljubljanskem okrožnem sodišču imajo še premalo izkušenj, da bi mogli povedati, ali bo alternativno reševanje sporov bistveno pripomoglo k razbremenitvi sodišča, tako kakor ni mogoče vnaprej trditi, da bo ta izkupiček neznaten.","Okrožno sodišče v Ljubljani ima še vedno premalo izkušenj, da bi lahko povedalo, ali bo alternativno reševanje sporov bistveno pripomoglo k razbremenitvi sodišča, tako kot ni mogoče vnaprej trditi, da bo ta donos nepomemben.","Na ljubljanskem okrožnem sodišču imajo premalo izkušenj, da bi lahko povedali, ali bo alternativno reševanje"
125,"Prednost alternativnih oblik odpravljanja sporov je predvsem ta, da se stranke hitro in učinkovito sporazumejo, saj so lahko primeri urejeni v nekaj mesecih.","Prednost alternativnih oblik reševanja sporov je v tem, da se stranke sporazumejo hitro in učinkovito, saj se zadeve lahko rešijo v nekaj mesecih.","Prednost alternativnih oblik reševanja sporov je predvsem ta, da se stranke hitro in učinkovito sporazumejo, saj"
126,Za marsikoga pa sta najučinkovitejši sredstvi za spodbujanje strank k izvensodnemu reševanju sporov ustrezni sistem sodnih taks in odmera odvetniške nagrade.,"Za mnoge pa je najučinkovitejši način za spodbujanje strank, da spore rešujejo zunaj sodišča, ustrezen sistem sodnih taks in ocena odvetniških honorarjev.",Za mnoge je najučinkovitejša metoda za spodbujanje strank k izvensodnemu reševanju sporov ustrezen sistem sodnih t
127,"Sedanji sistem namreč strank ne spodbuja k drugačnemu načinu, kakor je urejanje po sodni poti.","Sedanji sistem strank ne spodbuja, da se zatečejo k drugi metodi kot k sodni poravnavi.","Sedanji sistem strank ne spodbuja k drugačnemu načinu, kot je urejanje po sodni poti."
128,"A ne glede na to si upam trditi, da je to, kar se je zgodilo, vendar dokaz, da dela ministrstvo za šolstvo, znanost in šport v znanstveno-raziskovalne dejavnosti vsaj na pol zakonito, če že ne povsem nezakonito.","Toda ne glede na to, Upam si reči, da kaj se je zgodilo, je dokaz, da je Ministrstvo za šolstvo, Znanost in šport, ki dela v znanstvenih raziskavah vsaj pol pravno, če ne povsem nezakonito.","Ne glede na to, da je to, kar se je zgodilo, res dokaz, da je"
129,"Pa pri tem ne mislim na ministričinega brata, temveč na dopuščanje ministrice in njenih ministrskih predhodnikov, da so sprejem novega, ustreznega raziskovalnega zakona kar naprej nadomeščali vedno novi in novi pravilniki in da je zato je v rokah ministrice - četudi zgolj formalno - ostalo bistveno več oblasti, kakor bi ji je v demokratični družbi smelo pripadati.","Vendar pa se ne sklicujem na ministrovega brata, ampak na priznanje ministrice in njenih ministrskih predhodnikov, da so sprejetje novega, ustreznega zakona o raziskavah nenehno nadomeščali novi in novi predpisi in da je zato v rokah ministrice - čeprav samo formalno - ostalo veliko več moči, kot bi jo moralo imeti v demokratični družbi.","Pa ne mislim na ministra, temveč na njegovo dopuščanje ministrice in njenih ministrskih predhodnikov,"
130,"Raziskovalne institucije, ki zaradi nesprejema zakona že leta ne morejo dobiti koncesij in s tem večjega deleža proračunskih sredstev, pa tudi raziskovalci, bi odgovorno ministrstvo brez dvoma lahko obtožili vsaj nesposobnosti, če že ne moralne spornosti.","raziskovalne ustanove, ki zaradi nesprejetja zakona več let niso bile zmožne pridobiti koncesij in s tem večjega deleža proračunskih sredstev, pa tudi raziskovalci, bi nedvomno lahko odgovornemu ministrstvu očitali nesposobnost, če ne celo moralno nesposobnost.","Raziskovalne institucije, ki zaradi nesprejema zakona ne morejo dobiti koncesij in s tem večjega delež"
131,Po mojem mnenju se Huntington v obeh primerih moti.,Po mojem mnenju se Huntington v obeh primerih moti.,Po mojem mnenju Huntington v obeh primerih moti.
132,Dobitnik Nobelove nagrade za književnost sir V. S. Naipaul je nekoč napisal članek z naslovom Naša univerzalna civilizacija .,"Dobitnik Nobelove nagrade za književnost, Sir V.S. Naipaul, je nekoč napisal članek z naslovom Naša univerzalna civilizacija.",Dobitnik Nobelove nagrade za književnost sir V. S. Naipaul je nekoč napisal
